2020-12-27,VEN,20-29,22,54,76,0,0
2020-12-27,VEN,30-39,66,57,123,0,0
2020-12-27,VEN,40-49,51,106,157,0,0
2020-12-27,VEN,50-59,122,217,337,2,0
2020-12-27,VEN,60-69,132,51,183,0,0
2020-12-27,VEN,70-79,2,0,2,0,0
2020-12-30,VEN,20-29,14,38,44,8,0
2020-12-30,VEN,30-39,46,75,119,2,0
2020-12-30,VEN,40-49,57,144,190,11,0
2020-12-30,VEN,50-59,67,150,202,15,0
2020-12-30,VEN,60-69,45,27,60,8,4
2020-12-30,VEN,70-79,4,4,0,0,8
2020-12-30,VEN,80-89,10,10,0,0,20
2020-12-30,VEN,90+,2,5,0,0,7
2020-12-31,VEN,16-19,1,0,0,1,0
2020-12-31,VEN,20-29,92,253,338,6,1
2020-12-31,VEN,30-39,186,315,488,13,0
2020-12-31,VEN,40-49,200,558,738,20,0
2020-12-31,VEN,50-59,278,686,908,52,4
2020-12-31,VEN,60-69,234,161,372,12,11
2020-12-31,VEN,70-79,18,27,5,0,40
2020-12-31,VEN,80-89,24,73,1,0,96
2020-12-31,VEN,90+,6,93,0,0,99
2021-01-01,VEN,20-29,46,105,151,0,0
2021-01-01,VEN,30-39,109,189,296,2,0
2021-01-01,VEN,40-49,102,315,414,3,0
2021-01-01,VEN,50-59,133,375,504,4,0
2021-01-01,VEN,60-69,80,66,145,1,0
2021-01-02,VEN,16-19,0,1,0,1,0
2021-01-02,VEN,20-29,198,498,682,14,0
2021-01-02,VEN,30-39,319,626,908,36,1
2021-01-02,VEN,40-49,376,981,1292,65,0
2021-01-02,VEN,50-59,380,1192,1478,89,5
2021-01-02,VEN,60-69,364,254,535,47,36
2021-01-02,VEN,70-79,45,58,18,9,76
2021-01-02,VEN,80-89,49,184,1,5,227
2021-01-02,VEN,90+,32,166,0,2,196
2021-01-03,VEN,16-19,5,1,4,2,0
2021-01-03,VEN,20-29,185,469,621,33,0
2021-01-03,VEN,30-39,274,524,755,43,0
2021-01-03,VEN,40-49,299,921,1147,73,0
2021-01-03,VEN,50-59,397,1193,1458,132,0
2021-01-03,VEN,60-69,311,238,504,39,6
2021-01-03,VEN,70-79,33,28,19,3,39
2021-01-03,VEN,80-89,24,88,0,0,112
2021-01-03,VEN,90+,7,85,0,0,92
2021-01-04,VEN,16-19,2,3,3,2,0
2021-01-04,VEN,20-29,219,525,720,24,0
2021-01-04,VEN,30-39,346,685,982,49,0
2021-01-04,VEN,40-49,342,1035,1275,98,4
2021-01-04,VEN,50-59,505,1398,1668,212,23
2021-01-04,VEN,60-69,373,351,594,76,54
2021-01-04,VEN,70-79,87,101,26,11,151
2021-01-04,VEN,80-89,93,276,1,2,366
2021-01-04,VEN,90+,34,225,0,1,258
2021-01-05,VEN,16-19,1,3,1,3,0
2021-01-05,VEN,20-29,241,556,748,46,3
2021-01-05,VEN,30-39,362,698,962,89,9
2021-01-05,VEN,40-49,384,1123,1332,163,12
2021-01-05,VEN,50-59,496,1606,1763,287,52
2021-01-05,VEN,60-69,415,410,648,90,87
2021-01-05,VEN,70-79,104,108,26,18,168
2021-01-05,VEN,80-89,118,290,1,2,405
2021-01-05,VEN,90+,51,335,0,1,385
2021-01-06,VEN,16-19,5,6,7,4,0
2021-01-06,VEN,20-29,280,664,864,72,8
2021-01-06,VEN,30-39,444,817,1139,117,5
2021-01-06,VEN,40-49,458,1400,1669,171,18
2021-01-06,VEN,50-59,547,1859,2077,288,41
2021-01-06,VEN,60-69,431,415,679,108,59
2021-01-06,VEN,70-79,100,74,53,16,105
2021-01-06,VEN,80-89,71,232,2,5,296
2021-01-06,VEN,90+,25,236,0,0,261
2021-01-07,VEN,16-19,0,5,2,3,0
2021-01-07,VEN,20-29,246,570,763,53,0
2021-01-07,VEN,30-39,337,752,983,104,2
2021-01-07,VEN,40-49,392,1232,1370,244,10
2021-01-07,VEN,50-59,563,1663,1788,406,32
2021-01-07,VEN,60-69,358,452,596,103,111
2021-01-07,VEN,70-79,163,218,30,35,316
2021-01-07,VEN,80-89,186,583,4,33,732
2021-01-07,VEN,90+,60,537,1,2,594
2021-01-08,VEN,16-19,2,5,3,2,2
2021-01-08,VEN,20-29,287,617,768,114,22
2021-01-08,VEN,30-39,393,833,1034,177,15
2021-01-08,VEN,40-49,467,1432,1513,349,37
2021-01-08,VEN,50-59,660,1964,1978,540,106
2021-01-08,VEN,60-69,567,598,776,189,200
2021-01-08,VEN,70-79,182,192,62,15,297
2021-01-08,VEN,80-89,187,441,6,13,609
2021-01-08,VEN,90+,63,449,1,0,511
2021-01-09,VEN,16-19,6,6,1,10,1
2021-01-09,VEN,20-29,253,514,641,120,6
2021-01-09,VEN,30-39,353,645,788,192,18
2021-01-09,VEN,40-49,364,1132,1124,338,34
2021-01-09,VEN,50-59,532,1541,1571,403,99
2021-01-09,VEN,60-69,611,551,839,175,148
2021-01-09,VEN,70-79,184,168,39,53,260
2021-01-09,VEN,80-89,151,434,5,21,559
2021-01-09,VEN,90+,57,366,3,7,413
2021-01-10,VEN,16-19,9,12,7,11,3
2021-01-10,VEN,20-29,205,399,500,97,7
2021-01-10,VEN,30-39,247,460,531,163,13
2021-01-10,VEN,40-49,255,728,706,261,16
2021-01-10,VEN,50-59,454,1063,1041,463,13
2021-01-10,VEN,60-69,344,381,491,202,32
2021-01-10,VEN,70-79,82,61,44,41,58
2021-01-10,VEN,80-89,52,134,45,4,137
2021-01-10,VEN,90+,11,109,22,0,98
2021-01-11,VEN,16-19,3,15,12,5,1
2021-01-11,VEN,20-29,163,361,410,88,26
2021-01-11,VEN,30-39,242,524,570,155,41
2021-01-11,VEN,40-49,273,1005,955,280,43
2021-01-11,VEN,50-59,431,1261,1165,450,77
2021-01-11,VEN,60-69,338,389,373,251,103
2021-01-11,VEN,70-79,187,134,54,36,231
2021-01-11,VEN,80-89,256,626,5,227,650
2021-01-11,VEN,90+,66,441,0,33,474
2021-01-12,VEN,16-19,5,9,4,7,3
2021-01-12,VEN,20-29,132,265,286,76,35
2021-01-12,VEN,30-39,171,335,347,143,16
2021-01-12,VEN,40-49,204,651,574,243,38
2021-01-12,VEN,50-59,299,889,793,345,50
2021-01-12,VEN,60-69,212,273,274,133,78
2021-01-12,VEN,70-79,147,171,25,30,263
2021-01-12,VEN,80-89,252,618,8,152,710
2021-01-12,VEN,90+,86,468,1,20,533
2021-01-13,VEN,16-19,4,5,3,5,1
2021-01-13,VEN,20-29,146,346,374,81,37
2021-01-13,VEN,30-39,200,413,446,131,36
2021-01-13,VEN,40-49,256,804,671,337,52
2021-01-13,VEN,50-59,300,1029,799,456,74
2021-01-13,VEN,60-69,217,288,309,116,80
2021-01-13,VEN,70-79,142,147,48,23,218
2021-01-13,VEN,80-89,142,430,4,8,560
2021-01-13,VEN,90+,52,380,0,3,429
2021-01-14,VEN,16-19,5,12,5,9,3
2021-01-14,VEN,20-29,152,365,354,132,31
2021-01-14,VEN,30-39,215,472,456,207,24
2021-01-14,VEN,40-49,266,897,740,371,52
2021-01-14,VEN,50-59,363,1142,936,473,96
2021-01-14,VEN,60-69,280,377,347,195,115
2021-01-14,VEN,70-79,191,192,36,34,313
2021-01-14,VEN,80-89,213,680,7,14,872
2021-01-14,VEN,90+,80,573,1,9,643
2021-01-15,VEN,16-19,4,8,2,5,5
2021-01-15,VEN,20-29,179,334,328,125,60
2021-01-15,VEN,30-39,229,490,470,190,59
2021-01-15,VEN,40-49,249,673,573,292,57
2021-01-15,VEN,50-59,343,898,760,383,98
2021-01-15,VEN,60-69,256,259,287,152,76
2021-01-15,VEN,70-79,144,112,61,53,142
2021-01-15,VEN,80-89,102,342,3,22,419
2021-01-15,VEN,90+,39,246,1,2,282
2021-01-16,VEN,16-19,10,13,2,18,3
2021-01-16,VEN,20-29,178,346,353,153,18
2021-01-16,VEN,30-39,186,389,403,150,22
2021-01-16,VEN,40-49,237,651,623,223,42
2021-01-16,VEN,50-59,336,819,799,295,61
2021-01-16,VEN,60-69,259,213,305,115,52
2021-01-16,VEN,70-79,125,79,58,32,114
2021-01-16,VEN,80-89,52,136,4,6,178
2021-01-16,VEN,90+,21,126,0,1,146
